0.025,32,367.6
0.05,32,376.1
0.075,32,221.2
0.1,32,257.0
0.125,32,237.8
0.15,32,224.5
0.175,32,245.1
0.2,32,234.5
0.225,32,265.3
0.25,32,227.9
0.275,32,213.0
0.3,32,223.1
0.325,32,211.7
0.35,32,209.8
0.375,32,220.0
0.4,32,208.0
0.425,32,220.1
0.45,32,254.1
0.475,32,220.7
0.5,32,225.0
0.525,32,234.8
0.55,32,212.5
0.575,32,218.4
0.6,32,215.2
0.625,32,218.3
0.65,32,249.4
0.675,32,209.6
0.7,32,218.9
0.725,32,224.9
0.75,32,213.8
0.775,32,209.3
0.8,32,229.7
0.825,32,218.1
0.85,32,214.7
0.875,32,219.1
0.9,32,221.0
0.925,32,224.3
0.95,32,223.0
0.975,32,213.0
1.0,32,231.7
1.025,32,221.7
1.05,32,210.2
1.075,32,225.9
1.1,32,223.5
1.125,32,210.4
1.15,32,231.1
1.175,32,208.4
1.2,32,223.1
1.225,32,231.5
1.25,32,219.0
