0.005,1,3366.2
0.01,2,2544.6
0.015,4,3942.8
0.02,8,6155.8
0.025,16,8174.6
0.03,32,11161.9
0.035,64,11836.0
0.04,128,14449.6
0.045,256,17768.5
0.05,512,21993.3
