0.005,702.6
0.01,872.1
0.015,967.2
0.02,560.2
0.025,608.5
0.03,630.0
0.035,898.3
0.04,864.7
0.045,925.0
0.05,932.5
0.055,853.7
0.06,473.0
0.065,693.5
0.07,805.7
0.075,795.9
0.08,764.7
0.085,848.1
0.09,823.7
0.095,837.9
0.1,799.4
0.105,371.4
0.11,764.6
0.115,762.0
0.12,825.3
0.125,826.3
0.13,819.7
0.135,858.9
0.14,879.2
0.145,612.6
0.15,685.3
0.155,694.5
0.16,907.2
0.165,905.6
0.17,388.6
0.175,765.8
0.18,770.8
0.185,847.2
0.19,650.4
0.195,763.0
0.2,797.1
0.205,760.4
0.21,753.2
0.215,762.2
0.22,750.7
0.225,732.6
0.23,820.0
0.235,705.8
0.24,1442.7
0.245,1160.4
0.25,1075.7
